Who?	Sino?
All of the students were present.	Naroon ang lahat ng mag-aaral.
Are you thinking of helping them?	Isip mo bang tulungan sila?
Autumn is just around the corner.	Malapit na ang taglagas.
Can we roller-skate in this park?	Puwede bang magrolerskeyt sa parkeng ito?
Can you pass me the salt, please?	Pakiabot nga ng asin?
Does someone here speak Japanese?	Meron ba ditong marunong ng Hapon?
Dolphins and whales are not fish.	Ang mga dolphin at balyena ay hindi mga uri ng isda.
Father showed him into the study.	Pinapasok siya ni tatay sa study.
Go away before they see you here.	Umalis ka na bago makita ka nila dito.
Have you taken your medicine yet?	Uminom ka na ba ng gamot?
He eats nothing other than fruit.	Wala siyang kinakain kundi prutas.
He handed me the letter and left.	Binigay niya sa akin ang sulat at umalis.
He has not come home yet, has he?	Di pa siya umuwi, ano?
He introduced his daughter to me.	Ipinakilala niya sa akin ang anak niyang babae.
He just ate sushi and drank beer.	Kakakain lang niya ng sushi at uminom ng serbesa.
He lives in a village near Osaka.	Nakatira siya sa nayong katabi ng Osaka.
He lives in a village near Osaka.	Nakatira siya sa isang baranggay malapit sa Osaka.
He pretended not to be listening.	Nagkunyari siyang hindi nakikinig.
He said that it was nine o'clock.	Sabi niya'y alas nuwebe na.
He seems disappointed in his son.	Mukhang nabigo siya sa kanyang anak.
He thinks of nothing but himself.	Wala siyang iniisip kung hindi sarili niya.
He used his umbrella as a weapon.	Ginamit niya ang kanyang payong nang sandata.
His face is known to many people.	Kilala ng maraming tao ang mukha niya.
His invention deserves attention.	Marapat ang imbensiyon niya ng atensiyon.
How do you know all these things?	Paano mo nalaman itong mga bagay na ito?
I can't believe you're giving up.	Hindi ako makapaniwala na sumusuko ka na.
I can't do anything but obey him.	Wala akong magawa kung hindi sundin siya.
I don't remember him saying that.	Sa memorya ko, hindi niya sinabi ang ganoon.
I don't remember how tall she is.	Hindi ko matandaan kung kaanong kataas siya.
I don't understand him sometimes.	Kung minsan, hindi ko siya maintindihan.
I like winter better than summer.	Mas gusto ko ang tag-lamig kaysa sa tag-init.
I love you more than you love me.	Mas malaki ang pagmamahal ko sa'yo kaysa sa pagmamahal mo sa akin.
I may go out if the rain lets up.	Baka lumabas ako kung tumila na ang ulan.
I think you're a really nice guy.	Isip kong talagang mabait na tao ka.
I was raised eating Mexican food.	Lumaki akong nakain ng pagkaing Meksikano.
I was vaccinated against the flu.	Na-bakunahan ako laban sa trangkaso.
I will not go to school tomorrow.	Di ako pupunta sa paaralan bukas.
I'll set out for China next week.	Pupunta ako sa Tsina sa susunod na linggo.
I'm certain that he has finished.	Sigurado akong tapos na siya.
I'm looking for my ballpoint pen.	Hinahanap ko ang aking bolpen.
I've changed my website's layout.	Iniba ko ang ley-awt ng websayt ko.
Is there a golf course near here?	May golpkors bang malapit dito?
Is there a supermarket near here?	May supermarket bang malapit dito?
Is this your first time in Japan?	Unang beses mo ba ito sa Hapon?
It is impossible for me to do so.	Imposibleng gawin kong ganoon.
It looks like we have everything.	Parang meron na tayo ng lahat.
It seems to me that he is honest.	Sa tingin ko ay matapat siya.
Let me know where you're staying.	Ipaalam mo sa akin kung saan ka mananatili.
Let's wait and see how things go.	Tingnan natin kung anong mangyayari.
Mary set the basket on the table.	Nilagay ni Maria ang buslo sa ibabaw ng mesa.
May I talk with you for a moment?	Puwede ba kitang makausap sandali?
My hobby is collecting old coins.	Libangan kong mangolekta ng lumang barya.
Nobody says you can't go fishing.	Wala namang nagsasabing hindi ka pwedeng mangisda.
Not all of the staff was present.	Hindi lahat ng mga tauhan ay dumalo.
Oh, no! We're running out of gas.	Ay naku! Nauubusan tayo ng gasolina.
Oh, no! We're running out of gas.	Ay naku! Nauubusan kami ng gasolina.
Please buy me the new Shakira CD.	Pakibili mo nga ako ng bagong kompakdisk ni Shakira.
Please come to our town some day.	Punta naman kayo sa bayan namin minsan.
She advised him against doing it.	Pinaalala niyang huwag niyang gawin.
She doesn't smile for me anymore.	Hindi na siya ngumingiti para sa akin.
She is fond of singing old songs.	Gusto niyang kumanta ng mga lumang kanta.
She postponed her trip to Mexico.	Pinospon niya ang biyahe niya sa Meksiko.
Some people pursue only pleasure.	Humahabol ang ilang tao ng kagalakan lamang.
Something has happened to my car.	May nangyari sa kotse ko.
Speaking English is a lot of fun.	Nakakatuwa ang pagsasalita ng Ingles.
Success depends mostly on effort.	Ang tagumpay ay depende sa ginagawa mo.
Tell me when you'd like to order.	Pakisabi sa akin kung kailan ninyo gustong mag-order.
That plane will take off at five.	Maglalayag ang eroplano sa ika-5.
That was the best day of my life.	Iyon ang pinakamagaling na araw sa buhay ko.
That's a waste of time and money.	Aksaya iyon ng oras at pera.
The cat is sleeping on the table.	Natutulog ang pusa sa mesa.
The man was branded as a traitor.	Nabansagang traydor ang lalaki.
The noise awoke me from my sleep.	Ginising ako ng ingay.
The old castle is in a sad state.	Gula-gulanit na ang lumang kastilyo.
The police need someone to blame.	Naghahanap ang pulisya ng masisisi.
The water flows under the bridge.	Umaagos ang tubig sa ilalim ng tulay.
There is an apple under the desk.	May mansanas sa ilalim ng pupitre.
These chairs are not comfortable.	Di komportable ang mga upuang ito.
They dried themselves in the sun.	Nagbilad sila sa araw.
They talked over a cup of coffee.	Nagsalita silang nagkakape.
They want to talk about religion.	Gusto nilang pag-usapan ang mga bagay tungkol sa relihiyon.
This T-shirt is too small for me.	Masyadong maliit itong T-shirt sa akin.
This is a difficult math problem.	Ito'y mahirap na problemang matematika.
This watch is not mine but yours.	Di akin itong relo, kundi iyo.
Today is the best day of my life.	Pinakamagandang araw ito ng buhay ko.
Tom doesn't know what else to do.	Di alam ni Tomas kung ano pang gagawin niya.
Tom likes coffee better than tea.	Mas gusto ni Tomas ang kape kaysa sa tsa.
Tom loves pizza and French fries.	Gusto ni Tomas ang pizza at pritong patatas.
Tom pays Mary to clean his house.	Binabayaran ni Tom si Mary para linisin ang kanyang bahay.
Wake us up in time for breakfast.	Gisingin mo kami para sa almusal.
Was it cloudy in Tokyo yesterday?	Maulap ba sa Tokyo kahapon?
We have been to Tokyo many times.	Nagpunta kami sa Tokyo nang maraming beses na.
We must not speak in the library.	Dapat huwag tayong magdaldalan sa aklatan.
We were not invited to the party.	Hindi ka imbitado sa party.
We've walked all around the lake.	Naglakad kaming palibot ng lawa.
What do you do in your free time?	Anong ginagawa mo sa mga libreng oras mo?
When will his new novel come out?	Kailan lalabas ang bago niyang nobela?
Will you go to the party tonight?	Pupunta ka ba sa party mamayang gabi?
You never see a fault in anybody.	Wala kang makitang kamalian sa kahit sino.
You shouldn't eat anything spicy.	Hindi ka dapat kumain ng kahit anong maanghang.
Your friends are waiting for you.	Iniintay ka ng mga kaibigan mo.
Accidents arise from carelessness.	Ang aksidente ay bunga ng kawalang-isip.
After I watched TV, I went to bed.	Pagkatapos manuod ng tibi, natulog na ako.
Cherries are ripe in June or July.	Hinog ang seresa sa Hunyo o Hulyo.
Close your eyes for three minutes.	Sarhan mo ang mga mata mo nang tatlong minuto.
Did Tom help his mother yesterday?	Tinulungan ba ni Tomas ang nanay niya kahapon?
Did you enter the singing contest?	Sumali ka ba sa singing contest?
Do you have this in a bigger size?	Meron ba kayo nito sa mas malaking says?
Don't be afraid to make a mistake.	Huwag kang matakot magkamali.
Don't you want to go to the party?	Ayaw mo bang pumunta sa party?
Have you ever eaten Japanese food?	Nakakain ka na ba ng pagkaing Hapon?
Have you ever traveled in a plane?	Nakapaglakbay ka na ba sa pamamagitan ng eroplano?
He got up at eight in the morning.	Gumising siya nang alas-otso ng umaga.
He is an archeologist's assistant.	Katulong ng arkeyologo siya.
He is busy preparing for the trip.	Abala siya sa paghahanda para sa biyahe.
He is eager to go to the hospital.	Atat siyang pumunta sa ospital.
He lives in that house over there.	Nakatira siya sa bahay doon.
He refused to say more about that.	Ayaw na niyang pag-usapan pa tungkol doon.
He showed me the way to the store.	Ipinakita niya sa akin ang daan papunta sa tindahan.
He smokes twenty cigarettes a day.	Dalawampung sigarilyo siya sa isang araw.
He wants to live in North America.	Gusto niyang tumira sa Hilagang Amerika.
He wants to study music and dance.	Gusto niyang mag-aral ng musika at sayaw.
How many people are in your group?	Gaano karami ang mga tao sa iyong grupo?
How many people are in your group?	Ilang tao ang nasa grupo mo?
I believe it is a genuine Picasso.	Naniniwala akong wagas na Picasso iyon.
I didn't promise anybody anything.	Wala akong pinangako na kahit ano sa kahit na sino.
I don't exercise a lot these days.	Hindi ako masyadong nakakapag-ehersisyo nitong mga nakaraang araw.
I don't have any homework tonight.	Wala akong takdang aralin ngayong gabi.
I found a good Mexican restaurant.	May nahanap akong isang mahusay na Mehikanong karinderya.
I have just come back from school.	Kababalik ko lamang galing sa paaralan.
I like to study foreign languages.	Gusto kong mag-aral ng mga wikang dayuhan.
I like to study foreign languages.	Gusto kong mag-aral ng wikang dayuhan.
I think Tom looks a lot like John.	Sa tingin ko masyadong kamukha ni Tom si John.
I think he is something of a poet.	Isip kong para siyang manunula.
I went for a walk to get some air.	Naglakad-lakad ako para magpahangin.
I wonder if I'll ever get married.	Ikakasal pa kaya ako?
I'd like a glass of water, please.	Isang baso ng tubig, po.
I'd like to work at the cafeteria.	Gusto kong magtrabaho sa kapetirya.
I'll be with you in a few minutes.	Sasamahan kita pagkatapos nang ilang minuto.
I'll wait here till he comes back.	Maghihintay ako rito hanggang bumalik siya.
I'm looking forward to seeing him.	Sabik akong makita siyang muli.
In that case, I'll change my mind.	Kung ganoon, magbabago ako ng isip.
It has been raining since Tuesday.	Noong pang Martes na umuulan.
It is not far away from the hotel.	Hindi malayo sa otel.
It is probable that she will come.	Maaaring pumarini siya.
It seems that he is telling a lie.	Parang nagsisinungaling siya.
It's hard to handle crying babies.	Mahirap alagaan ang umiiyak na sanggol.
Keep an eye on my bag for a while.	Pakiguwardiyahan mo ang bag ko nang sandali.
Keep your room as neat as you can.	Dapat maayos ang kuwarto mo nang kaya mong maayos.
Let's wait until it stops raining.	Maghintay tayo hanggang tumila ang ulan.
Mary is going to help us tomorrow.	Tutulungan tayo ni Maria bukas.
Mary took out the eggs one by one.	Isa-isang nilabas ni Mary ang mga itlog.
My best friend dances really well.	Magaling magbayla ang bespren ko.
My best friend dances really well.	Magaling sumayaw ang bespren ko.
No one was present at the meeting.	Walang tao sa miting.
Our paths have crossed very often.	Madalas nagku-krus ang aming mga landas.
Phoenix is the capital of Arizona.	Phoenix ang kabisera ng Arizona.
Please help yourself to more cake.	Kumuha ka pa ng keyk.
She stirred the soup with a spoon.	Hinalo niya nang kutsara ang sopas.
Sorry, I've got my hands full now.	Pasensya na, medyo marami akong gagawin ngayon.
That hotel was very near the lake.	Yaong otel ay talagang malapit sa lawa.
The boy got in through the window.	Pumasok ang bata sa bintana.
The quality of rice is going down.	Bumababa ang kalidad ng bigas.
There are various kinds of coffee.	Maraming uri ng kape.
They wake up at six every morning.	Gumigising sila ng ika-6 ng umaga araw-araw.
This house and this land are mine.	Akin ang bahay at lupang ito!
This train leaves at nine o'clock.	Paalis ang tren nang alas nuwebe.
Tom bought two copies of the book.	Bumili si Tom ng dalawang kopya ng libro.
Tom didn't believe what Mary said.	Hindi naniwala si Tom sa sinabi ni Mary.
Tom didn't know Mary was so funny.	Di alam ni Tomas na ganoong nakakatawa si Maria.
Tom doesn't know how to tie a tie.	Di marunong si Tomas magtali ng kurbata.
Tom is going to be back here soon.	Malapit nang bumalik si Tom.
Tom was the last student to leave.	Si Tom ang pinakahuling mag-aaral na umalis.
We cannot really predict anything.	Di natin talagang mahuhulaan ang anuman.
We cannot really predict anything.	Di namin talagang mahuhulaan ang anuman.
We enjoyed ourselves at the party.	Nag-enjoy kami sa party.
We ran all the way to the station.	Tumakbo kami sa kalahatan ng daan papuntang estasyon.
We usually have breakfast at 7:30.	Karaniwang nag-aalmusal kami nang 07:30.
We were late because of the storm.	Nahuli kami dahil ng bagyo.
What do you associate with summer?	Sa iyo, anong umaanib sa tag-init?
What do you think I've been doing?	Ano sa tingin mo ang ginagawa ko?
What would you like for breakfast?	Anong gusto mong pang-almusal?
What's your favorite kind of food?	Ano ang paborito mong uri ng pagkain?
Where is the captain of this ship?	Nasaan ang kapitan ng barkong ito?
Who is in charge of this building?	Sinong hepe nitong gusali?
Why couldn't you sleep last night?	Ba't di ka makatulog kagabi?
Why is it that you're always late?	Bakit ba na palaging huli ka?
You have eaten lunch, haven't you?	Kumain ka na ng tanghalian, di ba?
You have only to push this button.	Pipindutin mo lamang itong butones.
You have ten seconds left to live.	May sampung segundo na ang natitira sa buhay mo.
You may choose whichever you like.	Pumili kayo ng alinmang gusto ninyo.
You may choose whichever you want.	Puwede kang pumili kung alinman ang gusto mo.
You may choose whichever you want.	Maaari kang pumili kung alinman yung gusto mo.
You may go with him if you choose.	Sumama ka sa kanya kung gusto mo.
You should prepare for the future.	Dapat maghanda na siya para sa kinabukasan.
You're the only one who can do it.	Ikaw lamang ang makakagawa niyon.
Algebra is a branch of mathematics.	Ang alhebra ay isang sangay ng matematika.
America is the land of opportunity.	Ang Amerika ay lugar ng oportunidad.
Could you call again later, please?	Maaari ka bang tumawag ulit mamaya?
Did you bring an umbrella with you?	Dinala mo ba ang payong mo?
Do you have any Japanese magazines?	Meron kayong magasing Hapon?
Do you like science fiction movies?	Gusto mo ba ng mga pelikulang siyensiyang piksiyon?
Do you like to cook Japanese foods?	Gusto mo bang magluto ng pagkaing Hapon?
Everyone always speaks well of Tom.	Laging maganda ang sinasabi tungkol kay Tom.
Good morning. It's time to wake up.	Magandang umaga. Oras nang gumising.
Great! Let's get together sometime.	Magaling! Magkita pa uli tayo.
Have you ever sharpened this knife?	Nakapagtulis ka na ba nitong kutsilyo?
He came in spite of the heavy snow.	Dumating siya kahit malakas ang pag-snow.
He doesn't speak English very well.	Hindi siya marunong masyadong mag-ingles.
He has great confidence in himself.	Malaki ang tiwala niya sa kanyang sarili.
He is wandering around in a trance.	Naglilibot siya nang pagkawalang diwa.
He lay at full length on the grass.	Humiga siya nang ganap na pahaba sa damo.
He let the dog loose in the garden.	Pinakawalan niya ang aso sa hardin.
He was looking for this very thing.	Itong-ito ang hinahanap niya.
Hey! What are you doing in my room?	Hoy! Anong ginagawa mo sa kwarto ko?
I am taking a holiday at the beach.	Nagbabakasyon ako sa dalampasigan.
I didn't know that he was Japanese.	Di ko alam na Hapon siya.
I need some sugar. Do you have any?	Kailangan ko ng asukal. Meron ka ba?
I recognized your voice right away.	Nakilala ko ang boses mo agad.
I somehow understand your feelings.	Naiintidihan ko ang pakiramdam mo.
I travel to all parts of the globe.	Nagbiyahe ako sa lahat ng parte ng daigdig.
I went to bed at twelve last night.	Nakatulog ako nang alas dose ng gabi.
I'll be out of town for a few days.	Wala ako sa bayan nang ilang araw.
It's more difficult than you think.	Mas mahirap kaysa sa iniisip mo.
Japanese forces marched into Burma.	Nag-martsa ang mga puwersang Hapones patungo sa Burma.
Lets play video games or something.	Magbidyugeym tayo o kaya ano.
My family goes skiing every winter.	Sa taglamig, nag-iiski ang pamilya ko.
My grandfather died five years ago.	Limang taon na ang nakalipas nang namatay ang lolo ko.
Our budget won't allow that luxury.	Di kaya ng pondo natin ang ganyang luho.
Our fate depends on your decisions.	Ang aming kapalaran ay depende sa iyong mga desisyon.
Oxygen is necessary for combustion.	Kailangan sa kombustiyon ang oksiheno.
Parrots often imitate human speech.	Nangongopyang malimit ng pagsasalita ng tao ang loro.
Rural life appeals to me very much.	Talagang mas gusto ko ang buhay sa bukid.
She doesn't speak Japanese at home.	Di siya naghahapon sa bahay.
She greeted me with "Good morning."	Ginrit niya ako ng "Magandang umaga."
She was burning to tell the secret.	Kating-kati na siyang ibunyag ang sikreto.
That country has natural resources.	Maraming likas na kayamanan ang bansang ito.
That man is in love with my sister.	Umiibig sa kapatid kong babae ang lalaking iyon.
That tie goes well with your shirt.	Bagay ang kurbatang iyan sa baro mo.
That was exactly what she intended.	Yun talaga ang gusto nyang mangyari.
The assignment was too much for me.	Masyadong mahirap ang takdang-aralin.
The birds are singing in the trees.	Kumakanta ang mga ibon sa mga puno.
The boy lay listening to the radio.	Nakikinig sa radyo ang bata nang nakahiga.
The letter will be mailed tomorrow.	Ipadadala nang koreo ang sulat bukas.
The party took place in a big room.	Nasa malaking kuwarto ang parti.
The price of this car is very high.	Mahal talaga ang presyo ng awtong ito.
The prince was changed into a frog.	Naging palaka ang prinsipe.
The travelers came from many lands.	Ang mga nagbiyabiyahe'y galing sa iba-ibang bansa.
The weather has been nice all week.	Maganda ang panahon nang buong linggo.
They believe in a life after death.	Naniniwala sila sa buhay pagkatapos ng kamatayan.
This database contains many errors.	Maraming mali itong databeys.
This is the second time I've flown.	Pangalawang beses ko itong lumipad.
Tom acted like he didn't know Mary.	Umarte si Tomas na parang di niya kilala si Maria.
Tom is turning thirty this October.	Magtatatlumpo na si Tom sa Oktubre.
Tom puts too much sugar in his tea.	Masyadong maraming maglagay ng asukal si Tomas sa kanyang tsa.
We are sorry about the bad weather.	Nanghihingi kami ng paumanhin dahil sa masamang panahon.
We can deliver the product in June.	Maihahatid namin ang produkto sa Hunyo.
We have no secrets from each other.	Bawat kitang walang sikreto.
We measured the depth of the river.	Sinukat namin ang kalaliman ng ilog.
We reached the top of the mountain.	Inabot namin ang tuktok ng bundok.
We were to have met there at seven.	Dapat nagtagpo tayo nang alas siyete.
We were to have met there at seven.	Dapat nagtagpo kami nang alas siyete.
We'll resume the meeting after tea.	Itutuloy natin ang miting pagkatapos ng tsa.
What is your impression of America?	Anong impresyon mo ng Isteyts?
What kind of chocolate do you like?	Anong klaseng tsokolate ang gusto mo?
What time do you usually go to bed?	Anong oras ka natutulog?
What're your plans for the weekend?	Anong plano mo ba para sa wik-end?
Whatever you do, don't forget this.	Anumang gawin mo, huwag mong kalimutan ito.
When and where is breakfast served?	Kailan at saan ang handa ng almusal?
Where there is life, there is hope.	Kung saan may buhay, may pag-asa.
Which do you prefer, rice or bread?	Alin ang gusto mo, kanin o tinapay?
While I was reading, I fell asleep.	Nang nagbabasa, nakatulog ako.
Will you come with me to the store?	Sasama ka ba sa akin sa tindahan?
Winter is over and spring has come.	Tapos na ang taglamig; tagsibol na.
Won't you come in for a cup of tea?	Bakit hindi ka pumasok para sa tasang tsa?
Yesterday I heard a beautiful song.	Kahapon, napakinig ko ang isang magandang kanta.
You should always do what is right.	Dapat palaging gawin ang tama.
You talk as if you knew everything.	Pagka nagsasalita ka, akala mo'y alam lahat.
You're more popular than you think.	Mas sikat ka sa akala mo.
A home is more than a mere building.	Ang bahay ay hindi lang basta gusali.
A picture is worth a thousand words.	Ang larawan ay kahalaga nang libong salita.
After breakfast, we went for a walk.	Pagkatapos ng almusal, naglakad kami.
All major credit cards are accepted.	Tinatanggap ang lahat ng mahalagang kredit kard.
All of us looked through the window.	Lahat kami'y tumanaw sa bintana.
Although it was raining, I went out.	Kahit na umuulan, lumabas ako.
Are you going to attend the meeting?	Mag-aatend ka ba ng miting?
Are you ready to start your journey?	Handa na ba kayong pasimulan ang inyong biyahe?
As far as I know, he is not married.	Ang alam ko ay hindi siya nag-asawa.
Do you have anything further to say?	Meron ka bang gusto pang sabihin?
English is taught in most countries.	Tinuturo ang Ingles sa karamihang bayan.
Have you finished reading the novel?	Natapos mo na ba ang nobela?
He is apparently responsible for it.	Mukhang siya ang may gawa nito.
He wants to go to the United States.	Gusto niyang pumunta sa Amerika.
Her face betrayed her real feelings.	Hindi naitago ng mukha niya ang tunay niyang nararamdaman.
How can I get to the police station?	Paano ako makakapunta sa estasyon ng pulis?
How many people can fit in your car?	Gaano karaming mga tao ang kakasya sa iyong kotse?
How many people can fit in your car?	Gaano karaming tao ang kasya sa kotse mo?
I am all alone in a foreign country.	Nag-iisa ako sa dayuhang bansa.
I am mixing mayonnaise with ketchup.	Hinahalo ko ang mayones at ketsap.
I can't imagine what he is thinking.	Di ko maguni-guni kung anong iniisip niya.
I couldn't answer all the questions.	Hindi ko masagot lahat ng mga tanong.
I couldn't think of anything to say.	Wala akong maisip na sabihin.
I didn't expect you to come so soon.	Hindi ko inaasahan na darating ka nang ganito kaaga.
I don't know if I have enough money.	Hindi ko alam kung sapat ang pera ko.
I feel happiest when I am in school.	Pinakamaligaya ako nang nasa paaralan ako.
I have been here since five o'clock.	Nandito na ako noon pang alas singko.
I have found what I was looking for.	Nakita ko ang hinahanap ko.
I no longer have the energy to talk.	Wala na akong enerhiya para magsalita.
I picked out a new hat at the store.	Pumili ako ng bagong sombrero sa tindahan.
I wanna have dinner in a restaurant.	Gusto kong maghapunan sa restawran.
I want to live close to the station.	Gusto kong tumira nang hindi malayo sa estasyon.
I'd like a word with you in private.	Gusto kong kausapin ka sa pribado.
I'd like a word with you in private.	Gusto kong kausapin kayo sa pribado.
I'd like to invite you to the party.	Gusto kong imbitahin kita sa parti.
I'll soon finish reading this novel.	Patapos ko nang basahin itong nobela.
I'm sorry, but they're out of stock.	Sori po, pero awt op stak na sila.
If I had time, I would study French.	Kung may panahon ako, mag-aaral ako ng Pranses.
In Japan, all children go to school.	Sa Hapon, lahat ng bata'y pumupunta sa paaralan.
Is this building open to the public?	Bukas ba sa lahat ang gusaling ito?
It is not polite to point at others.	Bastos ang tumuro sa iba.
It's up to you to decide what to do.	Sa iyo na ang magdisisyon kung anong gagawin.
Let's go grab a burger or something.	Tara, mag-burger tayo.
Not everybody wants to be an artist.	Di lahat ay gustong maging tagasining.
She cooked her husband an apple pie.	Nilutuan nya yung asawa nya ng apple pie.
She has read a lot of Tagalog books.	Maraming libro siyang binasa sa Tagalog.
She talks as if she knew everything.	Kung magsalita siya, akala'y alam lahat.
She was shy in her high school days.	Mahiyain siya noong high school pa lang siya.
Tell her that I am writing a letter.	Sabihin mo sa kanya na gumagawa ako ng sulat.
Tell me the name of the ninth month.	Sabihin mo sa akin ang pangalan ng ika-9 na buwan.
That article was written in English.	Nakasulat sa Ingles ang artikulong iyon.
That she was tired was plain to see.	Halatang pagod na siya.
That's the house where Tom was born.	Iyon ang bahay na pinanganak si Tomas.
The old city is surrounded by walls.	Pader ang pumaligid sa lumang lungsod.
The result was rather disappointing.	Nakakabigo ang kinahinatnan.
The volcano may erupt at any moment.	Baka pumutok na ang bulkan.
Their hut is situated in the valley.	Ang kubo nila'y nasa lambak.
There is no factory in this village.	Walang pabrika sa nayong ito.
They advertised a new product on TV.	Nagpakita sila ng bagong produkto sa telebisyon.
This year is going to be prosperous.	Magiging masagana ang taong ito.
Tom's mother died when he was young.	Namatay ang ina ni Tom noong bata pa siya.
Twenty teams entered the tournament.	Dalawampung pangkat ang pumasok sa torneo.
We can't sleep because of the noise.	Di kami makatulog dahil sa ingay.
We spent a quiet day in the country.	Matahimik na araw kami sa bukid.
What kind of house does Tom live in?	Anong klaseng bahay ang tinitirhan ni Tomas?
What time do you usually have lunch?	Anong oras ka nanananghalian?
When did you begin studying English?	Kailan ka nagsimula mag-aral ng Ingles?
When did you begin to learn English?	Kailan ka nag-umpisang mag-aral ng Ingles?
When did you have your wall painted?	Kailan mo pinapintahan ang dingding mo?
Will you come to the party tomorrow?	Papuntang parti ka ba bukas?
Will you translate this into French?	Maiisalin mo ba ito sa Pranses?
Would you like to have a cup of tea?	Gusto mo ba ng tasang tsa?
You cannot get blood out of a stone.	Hindi mo mapipiga ang dugo galing sa bato.
You do not have to bring your lunch.	Hindi mo kailangang dalhin ang tanghalian mo.
You'll find the book in the library.	Mahahanap mo ang libro sa silid-aklatan.
Your handwriting is similar to mine.	Katulad ng akin ang sulat-kamay mo.
"Do you have some fish?" "Yes, I do."	"Mayroon kang isda?" "Opo, meron."
Children are prohibited from smoking.	Bawal manigarilyo ang mga bata.
Could you please put the baby to bed?	Pwede mo bang patulugin ang sanggol?
Did you do your homework by yourself?	Magsarili mo bang ginawa ang homework mo?
Do you know who painted this picture?	Alam mo ba kung sinong nagpinta nitong pintura?
Don't take his remarks too literally.	Huwag mong masyadong gawing literal ang mga sinasabi niya.
English is an international language.	Ang Ingles ay isang wikang pandaigdig.
French was the language of diplomacy.	Wika ng diplomasya ang Pranses noon.
He had a slight edge on his opponent.	May kaunting lamang siya sa kalaban niya.
He memorized ten English words a day.	Nagsasaulo siya ng sampung salitang Ingles kada araw.
He stood up with his hat in his hand.	Tumindig siyang may sombrero sa kamay niya.
He wants Einstein to play the violin.	Gustong magbiyolin si Einstein.
Hurry up! You should be ready by now.	Dali ka! Dapat handa ka na.
I believe in this method of teaching.	Naniniwala ako sa paraang itong pagtuturo.
I can tell you that it didn't happen.	Kaya kong sabihin sayo na hindi yun nangyari.
I can't figure out what he is saying.	Hindi ko maintindihan ang sinasabi niya.
I don't feel like sleeping right now.	Paramdam kong di ako makakatulog ngayon din.
I don't have anything to give to you.	Wala akong ibibigay sa iyo.
I don't particularly want to do that.	Hindi ko talagang gustong gawin yan.
I don't want to discuss this anymore.	Ayaw ko nang pag-usapan ito.
I drank a glass of milk this morning.	Isang basong gatas ang ininom ko sa umaga.
I have never heard him speak English.	Di ko pa narinig siyang mag-ingles.
I have no more time to talk with you.	Wala na akong panahong makipag-usap sa iyo.
I need a Japanese-English dictionary.	Kailangan ko ng Hapon-Ingles na diksiyunaryo.
I only want what's best for everyone.	Gusto ko lamang ang pinakamagaling para sa lahat.
I remember that she wore a green hat.	Natatandaan kong nagsuot siya ng luntiang sombrero.
I talk to Tom on the phone every day.	Kinakausap ko si Tom sa telepono araw-araw.
I took a taxi because it was raining.	Nag-taxi ako kasi umuulan.
I used to fish for hours on holidays.	Noon, nangingisda ako nang ilang oras tuwing bakasyon.
I'm getting tired of your complaints.	Napapagod na ako sa mga reklamo mo.
I'm on good terms with the neighbors.	Kasundo ko ang mga kapitbahay ko.
I've drunk way too much coffee today.	Masyado ang kape ko ngayon.
I've never been to such a nice party.	Hindi ko pa naranasan ang ganitong kagandahang party.
Imagine that you have a time machine.	Magguni-guni na may makina ng oras ka.
Is she satisfied with her daily life?	Kontento na ba siya sa buhay niya?
Let's stay until the end of the game.	Tapusin natin ang laro.
That music always reminded me of you.	Palaging naiisip kita dahil ng musikang iyan.
The boys bring their books every day.	Dala ng mga batang lalaki ang mga libro nila araw-araw.
The chicken laid an egg this morning.	Nangitlog ang manok nitong umaga.
The doctor didn't allow me to go out.	Hindi ako pinayagan ng doktor na lumabas.
The man was hiding in a dense forest.	Nagtatago sa mayabong na gubat ang mama.
The people knew he did not like them.	Alam ng mga tao na ayaw niya sa kanila.
The plane is flying above the clouds.	Sa itaas ng mga ulap lumilipad ang eroplano.
The store is open all the year round.	Buong taong bukas ang tindahan.
The workers were proud of their work.	Pinagmamalaki ng mga trabahador ang kanilang trabaho.
The world doesn't revolve around you.	Hindi umiikot ang mundo sayo.
There appears to have been a mistake.	Mukhang may mali.
There seems to be a misunderstanding.	Tila may hindi nagkaintindihan.
There was nothing left in the fridge.	Walang natira sa ref.
There's something I want to show you.	May ipapakita ako sa iyo.
They were playing a game of checkers.	Naglalaro sila ng dama.
This custom dates from ancient times.	Itong kostumbre ay noong pang antigong panahon.
Tom bought a sewing machine for Mary.	Bumili si Tom ng makinilya para kay Mary.
Tom carefully read over the contract.	Binasang maigi ni Tom ang kontrata.
Tom is leaving Kobe tomorrow morning.	Aalis si Tom ng Kobe bukas ng umaga.
Tom took part in the summer festival.	Sumali si Tomas sa piyesta ng tag-init.
We were cooking tempura at that time.	Nagluluto kami ng tempura noon.
We were not prepared for the assault.	Hindi kami handa para sa pananalakay.
What is the use of reading magazines?	Anong kasaysayan ang pagbabasa ng magasin?
What time does the first train leave?	Anong oras naalis ang unang tren?
What's your favorite part of the day?	Anong paborito mong parte ng araw?
What's your favorite type of dessert?	Anong paborito mong klaseng panghimagas?
What's your favorite type of dessert?	Anong paborito mong klaseng matamis?
When did you see him dancing for her?	Kailan mo nakitang sinayawan niya siya?
